sample_id	control_bam	tumor_bam
4100049X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4100049X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4100049X_merged.mdup.bam
4100636	/SAN/colcc/BCI_ICGC_raw/WGS/control_4100636_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4100636_merged.mdup.bam
4101316	/SAN/colcc/BCI_ICGC_raw/WGS/control_4101316_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4101316_merged.bam.rmdup.bam
4101626	/SAN/colcc/BCI_ICGC_raw/WGS/control_4101626_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4101626_merged.mdup.bam
4101815	/SAN/colcc/BCI_ICGC_raw/WGS/control_4101815_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4101815_merged.mdup.bam
4102009	/SAN/colcc/BCI_ICGC_raw/WGS/control_4102009_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4102009_merged.bam.rmdup.bam
4103141	/SAN/colcc/BCI_ICGC_raw/WGS/control_4103141_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4103141_merged.bam.rmdup.bam
4103627X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4103627X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4103627X_merged.mdup.bam
4104105	/SAN/colcc/BCI_ICGC_raw/WGS/control_4104105_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4104105_merged.mdup.bam
4105105	/SAN/colcc/BCI_ICGC_raw/WGS/control_4105105_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4105105_merged.bam.rmdup.bam
4105746	/SAN/colcc/BCI_ICGC_raw/WGS/control_4105746_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4105746_merged.mdup.bam
4105782X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4105782X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4105782X_merged.mdup.bam
4107137	/SAN/colcc/BCI_ICGC_raw/WGS/control_4107137_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4107137_merged.bam.rmdup.bam
4107559	/SAN/colcc/BCI_ICGC_raw/WGS/control_4107559_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4107559_merged.bam.rmdup.bam
4107990	/SAN/colcc/BCI_ICGC_raw/WGS/control_4107990_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4107990_merged.mdup.bam
4108101	/SAN/colcc/BCI_ICGC_raw/WGS/control_4108101_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4108101_merged.bam.rmdup.bam
4108588	/SAN/colcc/BCI_ICGC_raw/WGS/control_4108588_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4108588_merged.mdup.bam
4108988	/SAN/colcc/BCI_ICGC_raw/WGS/control_4108988_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4108988_merged.mdup.bam
4108992	/SAN/colcc/BCI_ICGC_raw/WGS/control_4108992_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4108992_merged.bam.rmdup.bam
4109142	/SAN/colcc/BCI_ICGC_raw/WGS/control_4109142_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4109142_merged.mdup.bam
4109808	/SAN/colcc/BCI_ICGC_raw/WGS/control_4109808_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4109808_merged.mdup.bam
4109956	/SAN/colcc/BCI_ICGC_raw/WGS/control_4109956_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4109956_merged.mdup.bam
4110120	/SAN/colcc/BCI_ICGC_raw/WGS/control_4110120_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4110120_merged.mdup.bam
4110378	/SAN/colcc/BCI_ICGC_raw/WGS/control_4110378_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4110378_merged.bam.rmdup.bam
4111326	/SAN/colcc/BCI_ICGC_raw/WGS/control_4111326_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4111326_merged.bam.rmdup.bam
4111337	/SAN/colcc/BCI_ICGC_raw/WGS/control_4111337_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4111337_merged.bam.rmdup.bam
4112447	/SAN/colcc/BCI_ICGC_raw/WGS/control_4112447_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4112447_merged.bam.rmdup.bam
4112817X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4112817X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4112817X_merged.mdup.bam
4113140	/SAN/colcc/BCI_ICGC_raw/WGS/control_4113140_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4113140_merged.mdup.bam
4113191	/SAN/colcc/BCI_ICGC_raw/WGS/control_4113191_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4113191_merged.bam.rmdup.bam
4113825	/SAN/colcc/BCI_ICGC_raw/WGS/control_4113825_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4113825_merged.bam.rmdup.bam
4113971	/SAN/colcc/BCI_ICGC_raw/WGS/control_4113971_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4113971_merged.mdup.bam
4114033X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4114033X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4114033X_merged.mdup.bam
4115001	/SAN/colcc/BCI_ICGC_raw/WGS/control_4115001_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4115001_merged.bam.rmdup.bam
4116268	/SAN/colcc/BCI_ICGC_raw/WGS/control_4116268_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4116268_merged.mdup.bam
4117030X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4117030X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4117030X_merged.mdup.bam
4118156X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4118156X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4118156X_merged.mdup.bam
4119279	/SAN/colcc/BCI_ICGC_raw/WGS/control_4119279_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4119279_merged.bam.rmdup.bam
4119463	/SAN/colcc/BCI_ICGC_raw/WGS/control_4119463_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4119463_merged.mdup.bam
4119702X	/SAN/colcc/BCI_ICGC_raw/WGS/control_4119702X_merged.mdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4119702X_merged.mdup.bam
4120157	/SAN/colcc/BCI_ICGC_raw/WGS/control_4120157_merged.bam.rmdup.bam	/SAN/colcc/BCI_ICGC_raw/WGS/tumor_4120157_merged.bam.rmdup.bam
